col,row
9,9
9,8
9,7
9,6
9,5
9,4
9,39
9,38
9,37
9,36
9,35
9,34
9,3
9,28
9,27
9,26
9,25
9,24
9,2
9,18
9,17
9,16
9,15
9,14
9,13
9,12
9,11
9,10
9,1
8,9
8,8
8,7
8,6
8,5
8,4
8,39
8,38
8,37
8,36
8,35
8,34
8,3
8,28
8,27
8,26
8,25
8,24
8,2
8,18
8,17
8,16
8,15
8,14
8,13
8,12
8,11
8,10
8,1
7,9
7,8
7,7
7,6
7,5
7,4
7,39
7,38
7,37
7,36
7,35
7,34
7,3
7,28
7,27
7,26
7,25
7,24
7,2
7,18
7,17
7,16
7,15
7,14
7,13
7,12
7,11
7,10
7,1
6,9
6,8
6,7
6,6
6,5
6,4
6,39
6,38
6,37
6,36
6,35
6,34
6,3
6,28
6,27
6,26
6,25
6,24
6,18
6,17
6,16
6,15
6,14
6,13
6,12
6,11
6,10
5,9
5,8
5,7
5,6
5,39
5,38
5,37
5,36
5,35
5,34
5,28
5,27
5,26
5,25
5,24
5,23
5,18
5,17
5,16
5,15
5,14
5,13
5,12
5,11
5,10
46,37
46,36
46,35
46,34
46,28
46,27
46,26
46,25
46,24
46,23
45,38
45,37
45,36
45,35
45,34
45,28
45,27
45,26
45,25
45,24
45,23
45,18
45,17
45,16
45,15
45,14
44,38
44,37
44,36
44,35
44,34
44,28
44,27
44,26
44,25
44,24
44,23
44,18
44,17
44,16
44,15
44,14
44,13
44,12
44,11
44,10
43,9
43,8
43,39
43,38
43,37
43,36
43,35
43,34
43,28
43,27
43,26
43,25
43,24
43,23
43,18
43,17
43,16
43,15
43,14
43,13
43,12
43,11
43,10
42,9
42,8
42,7
42,6
42,39
42,38
42,37
42,36
42,35
42,34
42,28
42,27
42,26
42,25
42,24
42,23
42,18
42,17
42,16
42,15
42,14
42,13
42,12
42,11
42,10
41,9
41,8
41,7
41,6
41,5
41,4
41,39
41,38
41,37
41,36
41,35
41,34
41,3
41,28
41,27
41,26
41,25
41,24
41,18
41,17
41,16
41,15
41,14
41,13
41,12
41,11
41,10
40,9
40,8
40,7
40,6
40,5
40,4
40,39
40,38
40,37
40,36
40,35
40,34
40,3
40,28
40,27
40,26
40,25
40,24
40,2
40,18
40,17
40,16
40,15
40,14
40,13
40,12
40,11
40,10
40,1
4,9
4,8
4,39
4,38
4,37
4,36
4,35
4,34
4,28
4,27
4,26
4,25
4,24
4,23
4,18
4,17
4,16
4,15
4,14
4,13
4,12
4,11
4,10
39,9
39,8
39,7
39,6
39,5
39,4
39,39
39,38
39,37
39,36
39,35
39,34
39,3
39,28
39,27
39,26
39,25
39,24
39,2
39,18
39,17
39,16
39,15
39,14
39,13
39,12
39,11
39,10
39,1
38,9
38,8
38,7
38,6
38,5
38,4
38,39
38,38
38,37
38,36
38,35
38,34
38,3
38,28
38,27
38,26
38,25
38,24
38,2
38,18
38,17
38,16
38,15
38,14
38,13
38,12
38,11
38,10
38,1
37,9
37,8
