id,city,stn_id,name,longitude,latitude
91,ny,ny3049,Cambridge Pl & Gates Ave,-73.96304,40.68488
92,ny,ny305,E 58 St & 3 Ave,-73.96724467,40.76095756
93,ny,ny3050,Putnam Ave & Throop Ave,-73.94111,40.6851532
94,ny,ny3052,Lewis Ave & Madison St,-73.935775,40.686312
95,ny,ny3053,Marcy Ave & Lafayette Ave,-73.947915,40.6900815
96,ny,ny3054,Greene Ave & Throop Ave,-73.942061,40.6894932
97,ny,ny3055,Greene Ave & Nostrand Ave,-73.950916,40.6883337
98,ny,ny3056,Kosciuszko St & Nostrand Ave,-73.95133465,40.69072549
99,ny,ny3057,Kosciuszko St & Tompkins Ave,-73.9452416,40.69128258
100,ny,ny3058,Lewis Ave & Kosciuszko St,-73.93705428,40.69237074
101,ny,ny3059,Pulaski St & Marcus Garvey Blvd,-73.939877,40.6933982
102,ny,ny3060,Willoughby Ave & Tompkins Ave,-73.94626915,40.69425403
103,ny,ny3061,Throop Ave & Myrtle Ave,-73.94371094,40.69622937
104,ny,ny3062,Myrtle Ave & Marcy Ave,-73.94954908,40.69539817
105,ny,ny3063,Nostrand Ave & Myrtle Ave,-73.95238108,40.69527008
106,ny,ny3064,Myrtle Ave & Lewis Ave,-73.93756926,40.69681963
107,ny,ny3065,Union Ave & Wallabout St,-73.95032283,40.70029511
108,ny,ny3066,Tompkins Ave & Hopkins St,-73.94708417,40.69957608
109,ny,ny3067,Broadway & Whipple St,-73.9437303,40.7016657
110,ny,ny3068,Humboldt St & Varet St,-73.940636,40.7031724
111,ny,ny3069,Lorimer St & Broadway,-73.94818595,40.70411791
112,ny,ny307,Canal St & Rutgers St,-73.98990025,40.71427487
113,ny,ny3070,McKibbin St & Manhattan Ave,-73.94407279,40.70510918
114,ny,ny3071,Boerum St & Broadway,-73.94976519,40.70538077
115,ny,ny3072,Leonard St & Boerum St,-73.94644578,40.70583339
116,ny,ny3074,Montrose Ave & Bushwick Ave,-73.94016171,40.70767788
117,ny,ny3075,Division Ave & Marcy Ave,-73.95796783,40.70708701
118,ny,ny3076,Scholes St & Manhattan Ave,-73.9448625,40.70870368
119,ny,ny3077,Stagg St & Union Ave,-73.95095259,40.70877084
120,ny,ny3078,Broadway & Roebling St,-73.9606314897537,40.7092482627616
121,ny,ny308,St James Pl & Oliver St,-73.99851193,40.71307916
122,ny,ny3080,S 4 St & Rodney St,-73.95608,40.70934
