areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2023-06-29,50_54,0,1,0.0
E92000001,England,nation,2023-06-29,55_59,0,2,0.1
E92000001,England,nation,2023-06-29,60+,14,107,0.8
E92000001,England,nation,2023-06-29,60_64,1,11,0.3
E92000001,England,nation,2023-06-29,65_69,1,5,0.2
E92000001,England,nation,2023-06-29,70_74,1,8,0.3
E92000001,England,nation,2023-06-29,75_79,2,16,0.8
E92000001,England,nation,2023-06-29,80_84,2,14,1.0
E92000001,England,nation,2023-06-29,85_89,4,30,3.4
E92000001,England,nation,2023-06-29,90+,3,23,4.4
E92000001,England,nation,2023-06-28,00_04,0,0,0.0
E92000001,England,nation,2023-06-28,00_59,0,3,0.0
E92000001,England,nation,2023-06-28,05_09,0,0,0.0
E92000001,England,nation,2023-06-28,10_14,0,0,0.0
E92000001,England,nation,2023-06-28,15_19,0,0,0.0
E92000001,England,nation,2023-06-28,20_24,0,0,0.0
E92000001,England,nation,2023-06-28,25_29,0,0,0.0
E92000001,England,nation,2023-06-28,30_34,0,0,0.0
E92000001,England,nation,2023-06-28,35_39,0,0,0.0
E92000001,England,nation,2023-06-28,40_44,0,0,0.0
E92000001,England,nation,2023-06-28,45_49,0,0,0.0
E92000001,England,nation,2023-06-28,50_54,0,1,0.0
E92000001,England,nation,2023-06-28,55_59,0,2,0.1
E92000001,England,nation,2023-06-28,60+,7,107,0.8
E92000001,England,nation,2023-06-28,60_64,0,11,0.3
E92000001,England,nation,2023-06-28,65_69,0,5,0.2
E92000001,England,nation,2023-06-28,70_74,1,7,0.2
E92000001,England,nation,2023-06-28,75_79,2,17,0.8
E92000001,England,nation,2023-06-28,80_84,0,15,1.0
E92000001,England,nation,2023-06-28,85_89,1,29,3.3
E92000001,England,nation,2023-06-28,90+,3,23,4.4
E92000001,England,nation,2023-06-27,00_04,0,0,0.0
E92000001,England,nation,2023-06-27,00_59,0,6,0.0
E92000001,England,nation,2023-06-27,05_09,0,0,0.0
E92000001,England,nation,2023-06-27,10_14,0,0,0.0
E92000001,England,nation,2023-06-27,15_19,0,0,0.0
E92000001,England,nation,2023-06-27,20_24,0,0,0.0
E92000001,England,nation,2023-06-27,25_29,0,0,0.0
E92000001,England,nation,2023-06-27,30_34,0,0,0.0
E92000001,England,nation,2023-06-27,35_39,0,0,0.0
E92000001,England,nation,2023-06-27,40_44,0,0,0.0
E92000001,England,nation,2023-06-27,45_49,0,0,0.0
E92000001,England,nation,2023-06-27,50_54,0,2,0.1
E92000001,England,nation,2023-06-27,55_59,0,4,0.1
E92000001,England,nation,2023-06-27,60+,15,115,0.8
E92000001,England,nation,2023-06-27,60_64,1,12,0.4
E92000001,England,nation,2023-06-27,65_69,0,5,0.2
E92000001,England,nation,2023-06-27,70_74,2,7,0.2
E92000001,England,nation,2023-06-27,75_79,2,18,0.9
E92000001,England,nation,2023-06-27,80_84,1,18,1.2
E92000001,England,nation,2023-06-27,85_89,6,31,3.5
E92000001,England,nation,2023-06-27,90+,3,24,4.6
E92000001,England,nation,2023-06-26,00_04,0,0,0.0
E92000001,England,nation,2023-06-26,00_59,2,7,0.0
E92000001,England,nation,2023-06-26,05_09,0,0,0.0
E92000001,England,nation,2023-06-26,10_14,0,0,0.0
E92000001,England,nation,2023-06-26,15_19,0,0,0.0
E92000001,England,nation,2023-06-26,20_24,0,0,0.0
E92000001,England,nation,2023-06-26,25_29,0,0,0.0
E92000001,England,nation,2023-06-26,30_34,0,0,0.0
E92000001,England,nation,2023-06-26,35_39,0,0,0.0
E92000001,England,nation,2023-06-26,40_44,0,0,0.0
E92000001,England,nation,2023-06-26,45_49,0,0,0.0
E92000001,England,nation,2023-06-26,50_54,1,3,0.1
E92000001,England,nation,2023-06-26,55_59,1,4,0.1
E92000001,England,nation,2023-06-26,60+,14,124,0.9
E92000001,England,nation,2023-06-26,60_64,1,11,0.3
E92000001,England,nation,2023-06-26,65_69,2,5,0.2
E92000001,England,nation,2023-06-26,70_74,0,7,0.2
E92000001,England,nation,2023-06-26,75_79,0,22,1.1
E92000001,England,nation,2023-06-26,80_84,3,22,1.5
E92000001,England,nation,2023-06-26,85_89,8,32,3.6
E92000001,England,nation,2023-06-26,90+,0,25,4.8
E92000001,England,nation,2023-06-25,00_04,0,0,0.0
E92000001,England,nation,2023-06-25,00_59,0,5,0.0
E92000001,England,nation,2023-06-25,05_09,0,0,0.0
E92000001,England,nation,2023-06-25,10_14,0,0,0.0
E92000001,England,nation,2023-06-25,15_19,0,0,0.0
E92000001,England,nation,2023-06-25,20_24,0,0,0.0
E92000001,England,nation,2023-06-25,25_29,0,0,0.0
E92000001,England,nation,2023-06-25,30_34,0,0,0.0
E92000001,England,nation,2023-06-25,35_39,0,0,0.0
E92000001,England,nation,2023-06-25,40_44,0,0,0.0
E92000001,England,nation,2023-06-25,45_49,0,0,0.0
E92000001,England,nation,2023-06-25,50_54,0,2,0.1
E92000001,England,nation,2023-06-25,55_59,0,3,0.1
E92000001,England,nation,2023-06-25,60+,26,127,0.9
E92000001,England,nation,2023-06-25,60_64,2,10,0.3
E92000001,England,nation,2023-06-25,65_69,1,4,0.1
E92000001,England,nation,2023-06-25,70_74,2,9,0.3
E92000001,England,nation,2023-06-25,75_79,6,25,1.2
E92000001,England,nation,2023-06-25,80_84,2,24,1.7
E92000001,England,nation,2023-06-25,85_89,6,27,3.0
E92000001,England,nation,2023-06-25,90+,7,28,5.4
E92000001,England,nation,2023-06-24,00_04,0,0,0.0
E92000001,England,nation,2023-06-24,00_59,0,5,0.0
E92000001,England,nation,2023-06-24,05_09,0,0,0.0
E92000001,England,nation,2023-06-24,10_14,0,0,0.0
E92000001,England,nation,2023-06-24,15_19,0,0,0.0
E92000001,England,nation,2023-06-24,20_24,0,0,0.0
E92000001,England,nation,2023-06-24,25_29,0,0,0.0
E92000001,England,nation,2023-06-24,30_34,0,0,0.0
E92000001,England,nation,2023-06-24,35_39,0,0,0.0
E92000001,England,nation,2023-06-24,40_44,0,0,0.0
E92000001,England,nation,2023-06-24,45_49,0,0,0.0
E92000001,England,nation,2023-06-24,50_54,0,2,0.1
E92000001,England,nation,2023-06-24,55_59,0,3,0.1
E92000001,England,nation,2023-06-24,60+,13,116,0.8
E92000001,England,nation,2023-06-24,60_64,2,8,0.3
E92000001,England,nation,2023-06-24,65_69,1,3,0.1
E92000001,England,nation,2023-06-24,70_74,1,8,0.3
E92000001,England,nation,2023-06-24,75_79,2,21,1.0
E92000001,England,nation,2023-06-24,80_84,2,24,1.7
E92000001,England,nation,2023-06-24,85_89,3,26,2.9
E92000001,England,nation,2023-06-24,90+,2,26,5.0
E92000001,England,nation,2023-06-23,00_04,0,0,0.0
E92000001,England,nation,2023-06-23,00_59,1,6,0.0
E92000001,England,nation,2023-06-23,05_09,0,0,0.0
E92000001,England,nation,2023-06-23,10_14,0,0,0.0
E92000001,England,nation,2023-06-23,15_19,0,0,0.0
E92000001,England,nation,2023-06-23,20_24,0,0,0.0
E92000001,England,nation,2023-06-23,25_29,0,0,0.0
E92000001,England,nation,2023-06-23,30_34,0,0,0.0
E92000001,England,nation,2023-06-23,35_39,0,0,0.0
E92000001,England,nation,2023-06-23,40_44,0,1,0.0
E92000001,England,nation,2023-06-23,45_49,0,0,0.0
E92000001,England,nation,2023-06-23,50_54,0,2,0.1
E92000001,England,nation,2023-06-23,55_59,1,3,0.1
E92000001,England,nation,2023-06-23,60+,18,124,0.9
E92000001,England,nation,2023-06-23,60_64,4,8,0.3
E92000001,England,nation,2023-06-23,65_69,0,7,0.3
E92000001,England,nation,2023-06-23,70_74,1,8,0.3
E92000001,England,nation,2023-06-23,75_79,2,20,1.0
E92000001,England,nation,2023-06-23,80_84,4,26,1.8
E92000001,England,nation,2023-06-23,85_89,2,26,2.9
E92000001,England,nation,2023-06-23,90+,5,29,5.6
E92000001,England,nation,2023-06-22,00_04,0,0,0.0
E92000001,England,nation,2023-06-22,00_59,0,6,0.0
E92000001,England,nation,2023-06-22,05_09,0,0,0.0
E92000001,England,nation,2023-06-22,10_14,0,0,0.0
E92000001,England,nation,2023-06-22,15_19,0,0,0.0
E92000001,England,nation,2023-06-22,20_24,0,0,0.0
E92000001,England,nation,2023-06-22,25_29,0,0,0.0
E92000001,England,nation,2023-06-22,30_34,0,0,0.0
E92000001,England,nation,2023-06-22,35_39,0,0,0.0
E92000001,England,nation,2023-06-22,40_44,0,1,0.0
E92000001,England,nation,2023-06-22,45_49,0,0,0.0
E92000001,England,nation,2023-06-22,50_54,0,2,0.1
E92000001,England,nation,2023-06-22,55_59,0,3,0.1
E92000001,England,nation,2023-06-22,60+,14,140,1.0
E92000001,England,nation,2023-06-22,60_64,1,4,0.1
E92000001,England,nation,2023-06-22,65_69,1,12,0.4
E92000001,England,nation,2023-06-22,70_74,0,11,0.4
E92000001,England,nation,2023-06-22,75_79,3,23,1.1
E92000001,England,nation,2023-06-22,80_84,3,31,2.1
E92000001,England,nation,2023-06-22,85_89,3,30,3.4
E92000001,England,nation,2023-06-22,90+,3,29,5.6
E92000001,England,nation,2023-06-21,00_04,0,0,0.0
E92000001,England,nation,2023-06-21,00_59,3,7,0.0
E92000001,England,nation,2023-06-21,05_09,0,0,0.0
E92000001,England,nation,2023-06-21,10_14,0,0,0.0
E92000001,England,nation,2023-06-21,15_19,0,0,0.0
E92000001,England,nation,2023-06-21,20_24,0,0,0.0
E92000001,England,nation,2023-06-21,25_29,0,0,0.0
E92000001,England,nation,2023-06-21,30_34,0,0,0.0
E92000001,England,nation,2023-06-21,35_39,0,0,0.0
E92000001,England,nation,2023-06-21,40_44,0,1,0.0
E92000001,England,nation,2023-06-21,45_49,0,0,0.0
E92000001,England,nation,2023-06-21,50_54,1,3,0.1
E92000001,England,nation,2023-06-21,55_59,2,3,0.1
E92000001,England,nation,2023-06-21,60+,15,152,1.1
E92000001,England,nation,2023-06-21,60_64,1,3,0.1
E92000001,England,nation,2023-06-21,65_69,0,14,0.5
E92000001,England,nation,2023-06-21,70_74,1,12,0.4
E92000001,England,nation,2023-06-21,75_79,3,26,1.3
E92000001,England,nation,2023-06-21,80_84,3,36,2.5
E92000001,England,nation,2023-06-21,85_89,3,29,3.3
E92000001,England,nation,2023-06-21,90+,4,32,6.1
E92000001,England,nation,2023-06-20,00_04,0,0,0.0
E92000001,England,nation,2023-06-20,00_59,1,5,0.0
E92000001,England,nation,2023-06-20,05_09,0,0,0.0
E92000001,England,nation,2023-06-20,10_14,0,0,0.0
E92000001,England,nation,2023-06-20,15_19,0,0,0.0
E92000001,England,nation,2023-06-20,20_24,0,0,0.0
E92000001,England,nation,2023-06-20,25_29,0,0,0.0
E92000001,England,nation,2023-06-20,30_34,0,0,0.0
E92000001,England,nation,2023-06-20,35_39,0,0,0.0
E92000001,England,nation,2023-06-20,40_44,0,1,0.0
E92000001,England,nation,2023-06-20,45_49,0,0,0.0
E92000001,England,nation,2023-06-20,50_54,1,2,0.1
E92000001,England,nation,2023-06-20,55_59,0,2,0.1
E92000001,England,nation,2023-06-20,60+,24,166,1.2
E92000001,England,nation,2023-06-20,60_64,0,2,0.1
E92000001,England,nation,2023-06-20,65_69,0,15,0.5
E92000001,England,nation,2023-06-20,70_74,2,14,0.5
E92000001,England,nation,2023-06-20,75_79,6,28,1.4
E92000001,England,nation,2023-06-20,80_84,5,38,2.6
E92000001,England,nation,2023-06-20,85_89,7,30,3.4
E92000001,England,nation,2023-06-20,90+,4,39,7.5
E92000001,England,nation,2023-06-19,00_04,0,0,0.0
E92000001,England,nation,2023-06-19,00_59,0,7,0.0
E92000001,England,nation,2023-06-19,05_09,0,0,0.0
E92000001,England,nation,2023-06-19,10_14,0,0,0.0
E92000001,England,nation,2023-06-19,15_19,0,0,0.0
E92000001,England,nation,2023-06-19,20_24,0,0,0.0
E92000001,England,nation,2023-06-19,25_29,0,0,0.0
E92000001,England,nation,2023-06-19,30_34,0,0,0.0
E92000001,England,nation,2023-06-19,35_39,0,0,0.0
E92000001,England,nation,2023-06-19,40_44,0,1,0.0
E92000001,England,nation,2023-06-19,45_49,0,2,0.1
E92000001,England,nation,2023-06-19,50_54,0,2,0.1
E92000001,England,nation,2023-06-19,55_59,0,2,0.1
E92000001,England,nation,2023-06-19,60+,17,168,1.2
E92000001,England,nation,2023-06-19,60_64,0,4,0.1
E92000001,England,nation,2023-06-19,65_69,1,19,0.7
E92000001,England,nation,2023-06-19,70_74,2,14,0.5
E92000001,England,nation,2023-06-19,75_79,3,25,1.2
E92000001,England,nation,2023-06-19,80_84,5,37,2.6
E92000001,England,nation,2023-06-19,85_89,3,25,2.8
E92000001,England,nation,2023-06-19,90+,3,44,8.4
E92000001,England,nation,2023-06-18,00_04,0,1,0.0
E92000001,England,nation,2023-06-18,00_59,0,8,0.0
E92000001,England,nation,2023-06-18,05_09,0,0,0.0
E92000001,England,nation,2023-06-18,10_14,0,0,0.0
E92000001,England,nation,2023-06-18,15_19,0,0,0.0
E92000001,England,nation,2023-06-18,20_24,0,0,0.0
E92000001,England,nation,2023-06-18,25_29,0,0,0.0
E92000001,England,nation,2023-06-18,30_34,0,0,0.0
E92000001,England,nation,2023-06-18,35_39,0,0,0.0
E92000001,England,nation,2023-06-18,40_44,0,1,0.0
E92000001,England,nation,2023-06-18,45_49,0,2,0.1
E92000001,England,nation,2023-06-18,50_54,0,2,0.1
E92000001,England,nation,2023-06-18,55_59,0,2,0.1
E92000001,England,nation,2023-06-18,60+,15,179,1.3
E92000001,England,nation,2023-06-18,60_64,0,7,0.2
E92000001,England,nation,2023-06-18,65_69,0,19,0.7
E92000001,England,nation,2023-06-18,70_74,1,14,0.5
E92000001,England,nation,2023-06-18,75_79,2,24,1.2
E92000001,England,nation,2023-06-18,80_84,2,40,2.8
E92000001,England,nation,2023-06-18,85_89,5,27,3.0
E92000001,England,nation,2023-06-18,90+,5,48,9.2
E92000001,England,nation,2023-06-17,00_04,0,1,0.0
E92000001,England,nation,2023-06-17,00_59,1,10,0.0
E92000001,England,nation,2023-06-17,05_09,0,0,0.0
E92000001,England,nation,2023-06-17,10_14,0,0,0.0
E92000001,England,nation,2023-06-17,15_19,0,0,0.0
E92000001,England,nation,2023-06-17,20_24,0,0,0.0
E92000001,England,nation,2023-06-17,25_29,0,0,0.0
E92000001,England,nation,2023-06-17,30_34,0,0,0.0
E92000001,England,nation,2023-06-17,35_39,0,0,0.0
E92000001,England,nation,2023-06-17,40_44,1,1,0.0
E92000001,England,nation,2023-06-17,45_49,0,2,0.1
E92000001,England,nation,2023-06-17,50_54,0,2,0.1
E92000001,England,nation,2023-06-17,55_59,0,4,0.1
E92000001,England,nation,2023-06-17,60+,21,196,1.4
E92000001,England,nation,2023-06-17,60_64,2,7,0.2
E92000001,England,nation,2023-06-17,65_69,5,21,0.8
E92000001,England,nation,2023-06-17,70_74,1,16,0.6
E92000001,England,nation,2023-06-17,75_79,1,28,1.4
E92000001,England,nation,2023-06-17,80_84,4,45,3.1
E92000001,England,nation,2023-06-17,85_89,3,28,3.2
E92000001,England,nation,2023-06-17,90+,5,51,9.8
E92000001,England,nation,2023-06-16,00_04,0,1,0.0
E92000001,England,nation,2023-06-16,00_59,1,10,0.0
E92000001,England,nation,2023-06-16,05_09,0,0,0.0
E92000001,England,nation,2023-06-16,10_14,0,0,0.0
E92000001,England,nation,2023-06-16,15_19,0,0,0.0
E92000001,England,nation,2023-06-16,20_24,0,0,0.0
E92000001,England,nation,2023-06-16,25_29,0,0,0.0
E92000001,England,nation,2023-06-16,30_34,0,0,0.0
E92000001,England,nation,2023-06-16,35_39,0,0,0.0
E92000001,England,nation,2023-06-16,40_44,0,0,0.0
E92000001,England,nation,2023-06-16,45_49,0,2,0.1
E92000001,England,nation,2023-06-16,50_54,0,2,0.1
