areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2023-07-23,65_to_84,4671.4,423117
E92000001,England,nation,2023-07-23,85+,16100.1,226433
E92000001,England,nation,2023-07-22,18_to_64,1047.8,356161
E92000001,England,nation,2023-07-22,6_to_17,180.6,14744
E92000001,England,nation,2023-07-22,0_to_5,582.3,22875
E92000001,England,nation,2023-07-22,65_to_84,4670.3,423020
E92000001,England,nation,2023-07-22,85+,16096.6,226384
E92000001,England,nation,2023-07-21,18_to_64,1047.7,356133
E92000001,England,nation,2023-07-21,6_to_17,180.6,14744
E92000001,England,nation,2023-07-21,0_to_5,582.1,22868
E92000001,England,nation,2023-07-21,65_to_84,4669.5,422946
E92000001,England,nation,2023-07-21,85+,16093.8,226345
E92000001,England,nation,2023-07-20,18_to_64,1047.6,356101
E92000001,England,nation,2023-07-20,6_to_17,180.6,14742
E92000001,England,nation,2023-07-20,0_to_5,581.9,22860
E92000001,England,nation,2023-07-20,65_to_84,4668.8,422886
E92000001,England,nation,2023-07-20,85+,16091.7,226315
E92000001,England,nation,2023-07-19,18_to_64,1047.5,356063
E92000001,England,nation,2023-07-19,6_to_17,180.5,14739
E92000001,England,nation,2023-07-19,0_to_5,581.7,22852
E92000001,England,nation,2023-07-19,65_to_84,4668.0,422809
E92000001,England,nation,2023-07-19,85+,16088.6,226272
E92000001,England,nation,2023-07-18,18_to_64,1047.3,356010
E92000001,England,nation,2023-07-18,6_to_17,180.5,14737
E92000001,England,nation,2023-07-18,0_to_5,581.6,22850
E92000001,England,nation,2023-07-18,65_to_84,4667.1,422728
E92000001,England,nation,2023-07-18,85+,16085.4,226226
E92000001,England,nation,2023-07-17,18_to_64,1047.2,355971
E92000001,England,nation,2023-07-17,6_to_17,180.5,14737
E92000001,England,nation,2023-07-17,0_to_5,581.5,22846
E92000001,England,nation,2023-07-17,65_to_84,4666.3,422655
E92000001,England,nation,2023-07-17,85+,16083.5,226200
E92000001,England,nation,2023-07-16,18_to_64,1047.1,355940
E92000001,England,nation,2023-07-16,6_to_17,180.4,14733
E92000001,England,nation,2023-07-16,0_to_5,581.3,22839
E92000001,England,nation,2023-07-16,65_to_84,4665.6,422588
E92000001,England,nation,2023-07-16,85+,16081.1,226166
E92000001,England,nation,2023-07-15,18_to_64,1047.0,355905
E92000001,England,nation,2023-07-15,6_to_17,180.4,14731
E92000001,England,nation,2023-07-15,0_to_5,581.2,22835
E92000001,England,nation,2023-07-15,65_to_84,4664.9,422529
E92000001,England,nation,2023-07-15,85+,16078.8,226134
E92000001,England,nation,2023-07-14,18_to_64,1046.9,355873
E92000001,England,nation,2023-07-14,6_to_17,180.4,14731
E92000001,England,nation,2023-07-14,0_to_5,581.0,22825
E92000001,England,nation,2023-07-14,65_to_84,4664.2,422469
E92000001,England,nation,2023-07-14,85+,16077.2,226111
E92000001,England,nation,2023-07-13,18_to_64,1046.8,355844
E92000001,England,nation,2023-07-13,6_to_17,180.4,14730
E92000001,England,nation,2023-07-13,0_to_5,580.9,22823
E92000001,England,nation,2023-07-13,65_to_84,4663.7,422424
E92000001,England,nation,2023-07-13,85+,16075.5,226087
E92000001,England,nation,2023-07-12,18_to_64,1046.7,355810
E92000001,England,nation,2023-07-12,6_to_17,180.4,14725
E92000001,England,nation,2023-07-12,0_to_5,580.8,22817
E92000001,England,nation,2023-07-12,65_to_84,4663.1,422367
E92000001,England,nation,2023-07-12,85+,16073.3,226056
E92000001,England,nation,2023-07-11,18_to_64,1046.6,355772
E92000001,England,nation,2023-07-11,6_to_17,180.3,14724
E92000001,England,nation,2023-07-11,0_to_5,580.6,22811
