areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2023-08-08,30_34,59,304,7.9
E92000001,England,nation,2023-08-08,35_39,52,295,7.9
E92000001,England,nation,2023-08-08,40_44,51,326,9.4
E92000001,England,nation,2023-08-08,45_49,56,352,9.7
E92000001,England,nation,2023-08-08,50_54,87,490,12.6
E92000001,England,nation,2023-08-08,55_59,94,529,14.1
E92000001,England,nation,2023-08-08,60+,509,2797,20.5
E92000001,England,nation,2023-08-08,60_64,112,544,17.0
E92000001,England,nation,2023-08-08,65_69,88,469,16.8
E92000001,England,nation,2023-08-08,70_74,66,452,16.1
E92000001,England,nation,2023-08-08,75_79,93,474,23.6
E92000001,England,nation,2023-08-08,80_84,61,344,23.7
E92000001,England,nation,2023-08-08,85_89,48,296,33.4
E92000001,England,nation,2023-08-08,90+,41,218,41.8
E92000001,England,nation,2023-08-08,unassigned,2,6,
E92000001,England,nation,2023-08-07,00_04,17,123,3.8
E92000001,England,nation,2023-08-07,00_59,521,2844,6.6
E92000001,England,nation,2023-08-07,05_09,4,25,0.7
E92000001,England,nation,2023-08-07,10_14,6,38,1.1
E92000001,England,nation,2023-08-07,15_19,11,61,2.0
E92000001,England,nation,2023-08-07,20_24,26,164,4.7
E92000001,England,nation,2023-08-07,25_29,40,219,5.8
E92000001,England,nation,2023-08-07,30_34,48,281,7.3
E92000001,England,nation,2023-08-07,35_39,57,292,7.8
E92000001,England,nation,2023-08-07,40_44,61,325,9.3
E92000001,England,nation,2023-08-07,45_49,70,344,9.5
E92000001,England,nation,2023-08-07,50_54,90,469,12.1
E92000001,England,nation,2023-08-07,55_59,91,503,13.4
E92000001,England,nation,2023-08-07,60+,461,2714,19.9
E92000001,England,nation,2023-08-07,60_64,85,505,15.8
E92000001,England,nation,2023-08-07,65_69,92,459,16.5
E92000001,England,nation,2023-08-07,70_74,66,459,16.3
E92000001,England,nation,2023-08-07,75_79,68,448,22.3
E92000001,England,nation,2023-08-07,80_84,68,337,23.3
E92000001,England,nation,2023-08-07,85_89,48,291,32.9
E92000001,England,nation,2023-08-07,90+,34,215,41.3
E92000001,England,nation,2023-08-07,unassigned,1,4,
E92000001,England,nation,2023-08-06,00_04,22,126,3.9
E92000001,England,nation,2023-08-06,00_59,444,2745,6.4
E92000001,England,nation,2023-08-06,05_09,6,28,0.8
E92000001,England,nation,2023-08-06,10_14,8,36,1.0
E92000001,England,nation,2023-08-06,15_19,10,58,1.9
E92000001,England,nation,2023-08-06,20_24,32,165,4.8
E92000001,England,nation,2023-08-06,25_29,35,210,5.6
E92000001,England,nation,2023-08-06,30_34,43,260,6.8
E92000001,England,nation,2023-08-06,35_39,45,281,7.5
E92000001,England,nation,2023-08-06,40_44,44,315,9.1
E92000001,England,nation,2023-08-06,45_49,49,341,9.4
E92000001,England,nation,2023-08-06,50_54,70,457,11.8
E92000001,England,nation,2023-08-06,55_59,80,468,12.4
E92000001,England,nation,2023-08-06,60+,368,2675,19.6
E92000001,England,nation,2023-08-06,60_64,78,482,15.1
E92000001,England,nation,2023-08-06,65_69,58,435,15.6
E92000001,England,nation,2023-08-06,70_74,70,474,16.8
E92000001,England,nation,2023-08-06,75_79,65,451,22.4
E92000001,England,nation,2023-08-06,80_84,40,325,22.4
E92000001,England,nation,2023-08-06,85_89,38,289,32.6
E92000001,England,nation,2023-08-06,90+,19,219,42.0
E92000001,England,nation,2023-08-06,unassigned,1,3,
E92000001,England,nation,2023-08-05,00_04,16,116,3.6
E92000001,England,nation,2023-08-05,00_59,333,2687,6.3
E92000001,England,nation,2023-08-05,05_09,2,26,0.7
E92000001,England,nation,2023-08-05,10_14,4,33,1.0
