ucl_id,x,y
98,529253.5586404228,182379.0870677568
99,527894.5993607177,181124.67758645897
100,530423.6166404223,178502.5183260959
101,532435.8247950468,180904.37879759033
102,533550.8231669449,181139.86905204295
103,525543.4998324577,179969.57736576837
104,533533.3591582568,180937.77157882357
105,525673.2662024173,181175.19224749296
106,528656.524215468,181091.27659249847
107,532159.6122733183,182505.7178700248
108,529756.5274109794,179341.16593215178
109,529691.0970013184,181287.38071874308
110,526853.5450659882,183153.25309385348
111,527975.9221980758,180619.20217750437
112,531568.0061841658,181355.54812542856
113,526208.2486221015,179066.81350829895
114,527818.2234647325,182228.71273558604
115,533774.2523881111,181237.77414089872
116,529063.2547260104,181145.54355354625
117,530963.1662282811,178788.45405344042
118,529528.7133890373,179079.53521847323
119,532539.3813783107,182502.8157454824
120,532413.9229173602,181369.17490899534
121,528027.9526645325,181610.41062608612
122,533384.2091182831,181993.12434907962
123,531569.671569699,182752.12920953654
124,528455.8628376744,179132.21667574748
125,532357.3490818811,179694.07453755703
126,532170.8791491387,181594.9741019152
127,532354.4522660223,181509.28312347067
128,526071.9038474149,178940.9206635254
129,529374.5275797223,180863.80771505123
130,533654.791605114,180708.50054810493
131,529332.175451352,183211.5409931037
132,533662.2685332135,182282.4155510058
133,525627.4729443293,179597.88862879685
134,534187.9742724329,180210.43889107788
135,531585.4718693919,182185.02061051928
136,532122.2548323177,180941.73004825704
137,528304.1390487837,178497.46088592452
138,527958.4255826025,180870.13051231526
139,530746.3504734337,179005.42851201416
140,532915.4029462092,181964.03453468747
141,528659.9370081533,181225.2269352327
142,525174.695347542,178736.6065285313
143,527740.0335485042,179152.24044397438
144,531217.293621871,178356.4621619311
145,524845.1002181742,179509.51862054167
146,529974.4468426943,178260.56818441494
147,530815.8863965278,181239.65305639582
148,529338.8273543403,178661.20322059497
149,531281.4819249765,177896.20809415076
150,527204.1922752339,179157.6135798248
151,524897.5339906756,180778.52319584368
152,531895.1979029671,178733.42221054208
153,526790.0451597341,180791.66599999327
154,531078.3541700081,180005.5644427046
155,525609.8156855982,178985.6788193179
156,532486.7394675061,179000.9540920253
157,525518.6631438583,179487.60132398782
158,525329.5171916634,178420.95848634053
159,529311.5199538849,181165.20782354462
160,529755.1474485731,180287.75418166415
161,529132.0600979547,178682.0988471383
162,530448.7349183668,181526.65622657054
163,527285.904399227,178728.9187634036
164,526167.2020426076,181195.99905246688
165,526119.2938940001,181453.51927580923
166,527862.6728027505,179708.13208832336
167,528690.9028976607,178849.51281399385
168,525352.9123186241,179483.8461905123
169,527415.3771490571,181131.33394637762
170,531339.2771405219,182688.63575951103
171,525981.0858493852,178521.84428350476
172,526887.3003853246,178499.41678123304
173,531063.0082973792,180124.0126993372
174,530891.0044712031,180972.96438446868
175,533226.3499288892,182059.0883303102
176,525815.307753733,181444.53706381144
177,529148.0814893992,179107.02015647676
178,529098.1314122127,178404.16279643762
179,529415.3570531635,180179.16662291
180,528219.7607613164,180947.48753495392
181,528349.7361285662,179448.5608110312
182,527347.965756257,181940.05275060073
183001,531043.4100129154,180919.1390186912
183002,529521.9955052163,177581.0418359182
184,528782.9085787492,181830.00725397636
185,529185.3356226187,178206.30440811958
186,526669.4616804786,181400.88505367766
187,526556.3364132103,178632.26481289603
188,527463.860438538,181329.7273529932
189,531200.1765667317,183110.5669686217
190,529728.0037836811,178433.54181641788
191,528255.8423873715,179858.5746557741
192,529639.3649843306,180939.3247666979
193,531949.589851632,180253.55218945758
194,532536.8105040786,180136.40760647773
195,531525.4935791298,180401.24319300032
196,532072.886360184,180019.73198917427
197,531157.7161898278,180205.35085647873
199,533129.3518788273,180803.65249909332
200,534289.8286450696,181328.26760047622
201,527674.51412623,182011.45215428167
202,534056.9977133087,181037.13158805174
203,531871.8165359902,181631.49229445332
204,531040.0692743344,182542.5897808565
205,534511.25950096,181692.3363875157
206,534514.9071101749,181693.54576174443
207,528283.4197081126,179662.8709604753
208,527307.5603712032,182275.42164849117
209,527478.7438184649,178778.14682267635
210,528328.0793255575,181384.41573254764
211,527961.3436878718,178908.3281486584
212,525089.7372808885,180165.46896066662
213,528531.1815659174,179823.46632977627
214,529785.8805435287,182536.8737145716
215,532736.9943553896,181748.6077744768
216,526369.1187984559,178456.9176553093
217,533152.2438225867,181435.20531376987
218,527135.9537890209,178339.27258732409
219,525732.3892747117,178354.12354702194
220,527390.801373952,178451.13600772637
221,529879.9679067,178975.99449129088
222,528129.91791579,179815.22944340907
223,532682.7203000657,178677.68137776648
224,525821.8270059221,181094.30109736905
225,525261.3352824389,180477.69495030568
226,529737.0244480601,180489.03485659312
227,530822.0085410203,182794.68740633834
228,529555.33106042,180370.78801887034
229,530351.7966501102,180293.00436493388
230,531742.2763104879,180345.5430968796
231,526531.4635451159,178797.2197736511
232,531051.1129314589,181253.16941952874
233,529826.4498738055,180416.0955478229
234,531394.6781588183,183431.29110117367
235,531235.8169733003,179111.17535213835
236,533768.9833901199,181699.00171740312
237,534160.3195919439,180752.97804472927
238,526700.9947729624,182071.20358434273
239,529271.3886980262,182256.69220418687
240,531568.520994565,180203.72623860906
241,528205.6413381845,178861.06930747628
242,528352.8269508615,181963.0027093835
243,529254.604244444,178531.3182176514
244,529949.4781891165,181348.2843992766
245,529091.180932482,177903.3606039096
246,531913.730803631,182148.2435299146
247,527154.2100677753,182827.95108676783
248,527083.4653298652,180200.1199270236
249,532247.7160558327,179457.87152546353
250,527653.7311512561,178376.16447011125
251,533364.3556450026,181747.12044313154
252,530817.9075544104,180092.77342615958
253,532825.6074908422,183417.21821106825
254,531446.72830431,182988.8613363583
255,526384.2717081017,182310.5639167201
256,530776.7904555905,181091.53855334682
257,528105.361605039,182009.50115564186
258,526516.014529044,179627.48692117422
259002,528254.8473777256,178565.20772552147
259001,530351.6315216962,180115.29164523724
260,529470.9774570778,181065.22494674544
261,525601.8598817074,180946.3200357305
262,531765.4596409139,179461.70895920438
263,533280.123108233,181223.78871795174
264,531260.8264581248,182530.81896609912
265,527128.5840733055,181258.45894223003
266,526406.8528372138,179579.5950772441
267,529765.2018481101,178666.38903085777
268,528935.339543942,178772.58174388617
269,532688.9421795935,179716.96142121934
270,530457.1572611848,178047.92515961418
271,527972.3458511127,183492.11242698063
272,531232.5673071111,179748.37545145315
273,530942.4245401277,180262.56084831845
274,524680.8433262411,179056.8427507092
275,532464.2181772189,181850.09681835538
276,532994.3608838287,180668.47524419706
277,525620.1894734191,179797.10829216428
278,533383.5260121792,180032.36329454067
279,526607.9656945476,181542.44998619088
280,527674.7610851335,178393.4946222072
281,530077.3428848942,179091.2024273065
282,534724.1743811094,181800.35591517022
283,530655.5410723913,181176.1060173416
284,531146.7296275399,179489.77817039285
285,528943.5002746203,179302.67991211684
286,526722.1088404468,182510.37065942038
287,529942.3547363977,182188.684000889
288,528705.4173761774,178673.9548611457
289,528393.093931074,180542.14978530066
290,526693.3437296979,181339.61242778576
291,529378.5510333049,177853.13172103
292,527438.219562397,179366.8812841833
293,524384.6849113656,179210.48813007493
294,529539.2730430068,178233.99983807997
295,532480.7276360666,179652.88792342192
296,525708.3480786463,178739.4205053047
297,531573.9270930866,179165.53612676344
298,533764.0627540856,179907.26867558056
299,529433.2086247717,178872.1342423401
300,526894.5330750269,180035.38925028365
301,528598.9646954775,181162.70488231338
302001,532591.861582153,181616.95890327182
